measure,location,sex,age,age_c,cause,metric,year,val,upper,lower,pop
YLDs (Years Lived with Disability),Kenya,Both,15 to 19,15-19,All causes,Number,2019,387582.3201,505258.1521,283408.9521,5285857
YLDs (Years Lived with Disability),Kenya,Both,20 to 24,20-24,All causes,Number,2019,390679.977,504030.4383,287720.0643,4447674
YLDs (Years Lived with Disability),Kenya,Both,25 to 29,25-29,All causes,Number,2019,395502.9898,510938.4843,291269.4455,3854555
YLDs (Years Lived with Disability),Kenya,Both,30 to 34,30-34,All causes,Number,2019,396192.3608,513874.7297,294606.8773,3570719
YLDs (Years Lived with Disability),Kenya,Both,35 to 39,35-39,All causes,Number,2019,371666.6814,483074.8624,278053.9536,2650116
YLDs (Years Lived with Disability),Kenya,Both,40 to 44,40-44,All causes,Number,2019,330836.473,428498.0152,247536.427,2259231
YLDs (Years Lived with Disability),Kenya,Both,45 to 49,45-49,All causes,Number,2019,279783.7111,360971.7771,208130.5863,1786256
YLDs (Years Lived with Disability),Kenya,Both,50 to 54,50-54,All causes,Number,2019,234135.2039,304803.6009,174136.2227,1308610
YLDs (Years Lived with Disability),Kenya,Both,55 to 59,55-59,All causes,Number,2019,199098.7771,257373.2543,149449.9736,1118094
YLDs (Years Lived with Disability),Kenya,Both,60 to 64,60-64,All causes,Number,2019,164900.2443,214028.6913,124098.8233,870022
YLDs (Years Lived with Disability),Kenya,Both,65 to 69,65-69,All causes,Number,2019,132163.549,169820.7612,100182.4748,658178
YLDs (Years Lived with Disability),Kenya,Both,70 to 74,70-74,All causes,Number,2019,101451.9969,129650.018,76688.09664,514539
YLDs (Years Lived with Disability),Kenya,Both,75 to 79,75-79,All causes,Number,2019,68564.56063,87210.62972,51778.45109,283122
YLDs (Years Lived with Disability),Kenya,Both,80 plus,80+,All causes,Number,2019,65913.3739,83407.0598,50287.59893,414654
YLDs (Years Lived with Disability),Kenya,Both,<1 year,<1,All causes,Number,2019,56114.33067,74543.18748,40133.11733,1105074
